feature,importance
Sector_Industrial Services_ohe,0.0017658034
State name_New Mexico_ohe,0.0017657591
pros_empath_domestic_work,0.0017647356
cons_ld_$,0.0017631715
pros_emolex_negative,0.0017538784
AverageTemperatureAvgHighF,0.0017431702
GDP per capita,0.0017424425
cons_ld_UH,0.001733047
pros_ld_PDT,0.0017314308
cons_ld_WDT,0.0017291727
cons_empath_exercise,0.0017277021
pros_empath_payment,0.0017237752
pros_empath_money,0.0017208294
summary_ld_NNPS,0.0017200124
cons_ld_JJ,0.0017107598
pros_emolex_fear,0.0017084987
cons_ld_NNS,0.0017078357
cons_emolex_surprise,0.0016990837
summary_ld_PRP$,0.0016962376
pros_empath_family,0.0016909679
pros_ld_``,0.0016898689
pros_emolex_sadness,0.0016853473
State name_Oklahoma_ohe,0.0016849095
"summary_ld_,",0.001684778
cons_ld_(,0.0016813957
cons_ld_VBP,0.0016801613
cons_ld_RP,0.0016771628
pros_ld_VBZ,0.0016748414
pros_ld_RBR,0.0016726118
pros_empath_exercise,0.0016716281
State name_Texas_ohe,0.0016658427
pros_ld_UH,0.0016655554
pros_ld_#,0.0016643676
summary_ld_POS,0.0016540384
summary_ld_``,0.0016533739
State name_South Carolina_ohe,0.0016491581
pros_ld_POS,0.0016397041
Sector_Commercial Services_ohe,0.0016386495
Sector_Non-Energy Minerals_ohe,0.0016368531
cons_empath_leisure,0.0016311326
State name_Rhode Island_ohe,0.0016301672
cons_ld_JJS,0.0016290135
cons_ld_CC,0.0016281692
summary_ld_FW,0.001622979
pros_ld_RP,0.0016199271
pros_ld_VBN,0.0016166567
Sector_Consumer Durables_ohe,0.0016133509
summary_ld_$,0.0016038243
cons_ld_FW,0.0016029357
State name_Hawaii_ohe,0.0015969722
State name_Pennsylvania_ohe,0.0015967247
State name_Idaho_ohe,0.0015923369
pros_emolex_joy,0.0015902085
cons_empath_domestic_work,0.0015838032
State name_Georgia_ohe,0.001579671
cons_ld_PDT,0.0015789245
cons_ld_VBG,0.0015773928
State name_Ohio_ohe,0.0015744981
cons_emolex_fear,0.0015705689
cons_ld_#,0.0015702599
Sector_Utilities_ohe,0.0015682735
pros_empath_help,0.0015520897
State name_Colorado_ohe,0.0015509768
pros_wordlen,0.0015473067
Democrat/lean Dem.,0.0015403416
pros_ld_(,0.0015314519
cons_empath_office,0.0015290738
No lean,0.0015290376
Sector_Electronic Technology_ohe,0.0015256837
pros_ld_.,0.001525566
State name_Illinois_ohe,0.0015161777
cons_ld_RBR,0.0015142179
